2025-08-07 20:15:45,025 | ERROR | root | Error initializing settings: error loading code: [string "<python>"]:1: syntax error near <eof>
2025-08-07 20:15:45,148 | INFO | qdarkstyle | QSS file successfully loaded.
2025-08-07 20:15:45,148 | INFO | qdarkstyle | Found application patches to be applied.
2025-08-07 20:15:45,408 | INFO | __main__ | Application started
2025-08-07 20:15:56,348 | INFO | root | Loading FITS file: C:/Users/trito/NovaLoom/Data/Light_M42_180.0s_Bin1_0016.fit
2025-08-07 20:15:56,428 | WARNING | astroquery | FITSFixedWarning: 'datfix' made the change 'Set MJD-OBS to 59553.169579 from DATE-OBS'.
2025-08-07 20:15:56,433 | INFO | root | FITS file loaded successfully
2025-08-07 20:15:56,433 | INFO | root | Loading cached results from c:\Users\trito\NovaLoom\ui\..\results\Light_M42_180.0s_Bin1_0016_sources.csv
2025-08-07 20:15:56,614 | INFO | root | Updating visualization...
2025-08-07 20:15:56,615 | INFO | root | Displaying 100 of 100 sources
2025-08-07 20:15:58,084 | INFO | root | Visualization updated
2025-08-07 20:16:24,789 | INFO | root | Updating visualization...
2025-08-07 20:16:24,790 | INFO | root | Displaying 100 of 100 sources
2025-08-07 20:16:25,975 | INFO | root | Visualization updated
2025-08-07 20:16:27,960 | INFO | root | Updating visualization...
2025-08-07 20:16:27,960 | INFO | root | Displaying 100 of 100 sources
2025-08-07 20:16:29,164 | INFO | root | Visualization updated
2025-08-07 20:31:22,706 | ERROR | root | Error initializing settings: error loading code: [string "<python>"]:1: syntax error near <eof>
2025-08-07 20:31:22,761 | INFO | qdarkstyle | QSS file successfully loaded.
2025-08-07 20:31:22,761 | INFO | qdarkstyle | Found application patches to be applied.
2025-08-07 20:31:22,911 | INFO | __main__ | Application started
2025-08-07 20:31:48,031 | ERROR | root | Error initializing settings: error loading code: [string "<python>"]:1: syntax error near <eof>
2025-08-07 20:31:48,087 | INFO | qdarkstyle | QSS file successfully loaded.
2025-08-07 20:31:48,087 | INFO | qdarkstyle | Found application patches to be applied.
2025-08-07 20:31:48,243 | INFO | __main__ | Application started
2025-08-07 20:34:41,789 | ERROR | root | Error initializing settings: error loading code: [string "<python>"]:1: syntax error near <eof>
2025-08-07 20:34:41,841 | INFO | qdarkstyle | QSS file successfully loaded.
2025-08-07 20:34:41,841 | INFO | qdarkstyle | Found application patches to be applied.
2025-08-07 20:34:42,005 | INFO | __main__ | Application started
2025-08-07 20:34:50,204 | INFO | root | Loading FITS file: C:/Users/trito/NovaLoom/Data/Light_M42_180.0s_Bin1_0016.fit
2025-08-07 20:34:50,275 | WARNING | astroquery | FITSFixedWarning: 'datfix' made the change 'Set MJD-OBS to 59553.169579 from DATE-OBS'.
2025-08-07 20:34:50,279 | INFO | root | FITS file loaded successfully
2025-08-07 20:34:50,280 | INFO | root | Loading cached results from c:\Users\trito\NovaLoom\ui\..\results\Light_M42_180.0s_Bin1_0016_sources.csv
2025-08-07 20:34:50,424 | INFO | root | Updating visualization...
2025-08-07 20:34:50,425 | INFO | root | Displaying 100 of 100 sources
2025-08-07 20:34:51,727 | INFO | root | Visualization updated
2025-08-07 20:34:59,395 | INFO | root | Updating visualization...
2025-08-07 20:34:59,395 | INFO | root | Displaying 100 of 100 sources
2025-08-07 20:35:00,573 | INFO | root | Visualization updated
